Gene	Symbol	Mock.no4sU.A Readcount	Mock.1h.A Readcount	Mock.2h.A Readcount	Mock.2h.B Readcount	Mock.3h.A Readcount	Mock.4h.A Readcount	SARS.no4sU.A Readcount	SARS.1h.A Readcount	SARS.2h.A Readcount	SARS.2h.B Readcount	SARS.3h.A Readcount	SARS.4h.A Readcount	Mock.1h.A 0.05 quantile	Mock.1h.A Mean	Mock.1h.A MAP	Mock.1h.A 0.95 quantile	Mock.2h.A 0.05 quantile	Mock.2h.A Mean	Mock.2h.A MAP	Mock.2h.A 0.95 quantile	Mock.2h.B 0.05 quantile	Mock.2h.B Mean	Mock.2h.B MAP	Mock.2h.B 0.95 quantile	Mock.3h.A 0.05 quantile	Mock.3h.A Mean	Mock.3h.A MAP	Mock.3h.A 0.95 quantile	Mock.4h.A 0.05 quantile	Mock.4h.A Mean	Mock.4h.A MAP	Mock.4h.A 0.95 quantile	SARS.1h.A 0.05 quantile	SARS.1h.A Mean	SARS.1h.A MAP	SARS.1h.A 0.95 quantile	SARS.2h.A 0.05 quantile	SARS.2h.A Mean	SARS.2h.A MAP	SARS.2h.A 0.95 quantile	SARS.2h.B 0.05 quantile	SARS.2h.B Mean	SARS.2h.B MAP	SARS.2h.B 0.95 quantile	SARS.3h.A 0.05 quantile	SARS.3h.A Mean	SARS.3h.A MAP	SARS.3h.A 0.95 quantile	SARS.4h.A 0.05 quantile	SARS.4h.A Mean	SARS.4h.A MAP	SARS.4h.A 0.95 quantile	Mock.1h.A alpha	Mock.1h.A beta	Mock.2h.A alpha	Mock.2h.A beta	Mock.2h.B alpha	Mock.2h.B beta	Mock.3h.A alpha	Mock.3h.A beta	Mock.4h.A alpha	Mock.4h.A beta	SARS.1h.A alpha	SARS.1h.A beta	SARS.2h.A alpha	SARS.2h.A beta	SARS.2h.B alpha	SARS.2h.B beta	SARS.3h.A alpha	SARS.3h.A beta	SARS.4h.A alpha	SARS.4h.A beta	Length
ENSG00000152332	UHMK1	650	4514.5	3097	4865	7830	5486.8333	102.5	985	920.5	1636.5	572.5	749	0.0381	0.0451	0.0447	0.0525	0.1281	0.1407	0.1404	0.1538	0.1318	0.1416	0.1413	0.1515	0.198	0.207	0.2068	0.216	0.2895	0.3015	0.3014	0.3136	0.1038	0.1269	0.1255	0.1516	0.3747	0.4109	0.4102	0.4474	0.425	0.4521	0.4518	0.4793	0.4354	0.4819	0.4812	0.5283	0.5783	0.6195	0.6194	0.6597	100.7646	2134.3716	277.0942	1691.8961	478.2756	2900.6937	1129.905	4329.9353	1178.5299	2730.6092	66.3792	456.6319	203.0802	291.2443	411.8623	499.1721	150.4133	161.7877	237.9167	146.228	8478
ENSG00000162772	ATF3	12	188	111	142.5	176	141	109	135	318.5	305	221	357.5	0.5218	0.6342	0.6311	0.7382	0.6015	0.739	0.7385	0.8542	0.6406	0.7475	0.7483	0.8401	0.6404	0.7387	0.7391	0.8253	0.6826	0.7857	0.7878	0.8723	0.6576	0.8096	0.8098	0.9215	0.9574	1	1	0.9991	0.911	0.985	1	0.9966	0.9487	1	1	0.9989	0.9604	1	1	0.9991	33.3992	19.3711	23.3629	8.3611	37.5467	12.7846	44.3684	15.8007	38.8515	10.7024	18.4531	4.4726	72.0101	1.0737	39.0249	1.356	59.7359	1.0799	78.1465	1.0858	2103
ENSG00000090621	PABPC4	510	6001	5665.3333	4338	7957.3333	6566.5	123	1599	1862.5	2107.25	806.5	932	0.0795	0.0889	0.0885	0.0986	0.199	0.2116	0.2113	0.2243	0.1886	0.2023	0.202	0.2162	0.2717	0.2832	0.2831	0.2948	0.329	0.3421	0.342	0.3553	0.1373	0.1608	0.1596	0.1854	0.4826	0.5151	0.5146	0.5473	0.4899	0.52	0.5196	0.5499	0.5287	0.5792	0.5784	0.6285	0.6081	0.6549	0.6545	0.7001	214.4139	2198.5721	595.5589	2219.4684	464.7022	1832.9269	1169.7961	2961.0553	1208.1016	2323.3888	101.0586	527.6444	332.4444	313.1009	389.1697	359.342	152.7783	111.0974	188.7675	99.561	3592
ENSG00000185483	ROR1	311	2911.1667	2153.5	2131.5	3380	2723.5	109	779.5	712.1667	919	380	650.5	0.0539	0.0652	0.0645	0.0773	0.2713	0.2948	0.2943	0.3187	0.2843	0.3062	0.3058	0.3284	0.3885	0.408	0.4078	0.4276	0.6178	0.641	0.641	0.6639	0.1172	0.1482	0.146	0.1816	0.4622	0.514	0.5129	0.5652	0.5356	0.5804	0.5799	0.6241	0.6401	0.7151	0.7149	0.784	0.9219	0.9789	0.983	0.9947	78.0721	1119.6208	295.4758	706.8519	360.6808	817.4278	698.3023	1013.3488	750.2724	420.2717	48.5924	279.3702	130.5085	123.5101	194.9308	141.0747	75.3969	30.15	54.6218	1.8341	5832
ENSG00000058673	ZC3H11A	291.5	1916.5	1644.5	1954.4167	3175.5833	2613.1667	179.9167	806.5	1003.0333	1546.8333	591.5	805.75	0.0552	0.0683	0.0675	0.0825	0.4139	0.4413	0.441	0.4688	0.411	0.435	0.4348	0.4591	0.5505	0.5701	0.5701	0.5896	0.7461	0.7671	0.7672	0.7873	0.1162	0.1438	0.142	0.1734	0.6318	0.6731	0.6729	0.7128	0.5054	0.5356	0.5354	0.5657	0.7124	0.7632	0.7636	0.8104	0.9462	0.9898	0.9897	0.9966	62.9037	857.562	390.5548	494.5263	499.046	648.1759	992.0118	748.0797	877.2159	266.5327	58.3256	347.2075	243.5477	118.414	395.9146	343.3288	154.8025	48.118	78.9601	1.7834	11825
ENSG00000257315	ZBED6	290.5	1886	1629.6667	1920.9167	3134.4167	2579.8333	172.4167	785.5	976.5333	1519.3333	592.6667	804.75	0.0553	0.0685	0.0677	0.0829	0.419	0.4466	0.4463	0.4743	0.413	0.4373	0.4371	0.4617	0.5568	0.5766	0.5765	0.5961	0.7474	0.7685	0.7686	0.7888	0.1169	0.145	0.1431	0.1751	0.6442	0.6859	0.6858	0.726	0.5181	0.5488	0.5486	0.5792	0.7168	0.7675	0.7678	0.8144	0.9512	0.9946	0.995	0.9974	61.9404	841.7749	390.6667	484.0631	490.7683	631.5344	985.4328	723.8171	863.2325	260.169	57.1601	337.1458	238.1006	109.1264	394.1636	324.1442	154.6955	46.9641	82.0414	1.6234	12481
ENSG00000117592	PRDX6	521	5552.5	4422.5	5140.5	8814.5	7612.5	121	1312	1257.5	1658.5	608	763	0.0076	0.0112	0.0108	0.0154	0.0405	0.0472	0.0469	0.0544	0.0455	0.052	0.0517	0.0588	0.0708	0.0767	0.0765	0.0827	0.1047	0.1119	0.1118	0.1193	0.0187	0.0296	0.0282	0.0427	0.1049	0.125	0.1239	0.1463	0.1058	0.1232	0.1224	0.1416	0.1113	0.1409	0.1388	0.1728	0.1422	0.1707	0.1691	0.2008	21.6348	1906.2995	118.9121	2398.2306	155.694	2839.3145	413.3054	4977.0297	564.912	4482.5368	15.8765	519.0199	85.6877	599.9357	112.4076	799.6461	48.5118	295.8347	75.6848	367.8009	1751
ENSG00000117523	PRRC2C	553.5	5475.5	4322.5	4366.8333	6117.3333	5295.6667	161.5	1885.3333	1785.5	2134.5	600.5	748.5	0.0241	0.0299	0.0295	0.0362	0.2707	0.2863	0.2861	0.302	0.2367	0.251	0.2507	0.2655	0.3898	0.4038	0.4036	0.4177	0.6339	0.6502	0.6501	0.6662	0.0345	0.0461	0.045	0.059	0.4125	0.4424	0.4419	0.4722	0.3777	0.4037	0.4033	0.4299	0.5329	0.5867	0.586	0.6391	0.7692	0.8185	0.8188	0.8628	63.5128	2060.8636	646.8094	1612.589	616.5614	1840.2042	1347.6473	1990.3024	1533.2724	825.2102	36.4123	753.7769	330.5967	416.8801	385.2682	569.1129	135.9366	95.8643	149.3966	33.2443	10366
ENSG00000143153	ATP1B1	749.5	7576.5	6047	5846	10335	7638	127	1642	1483.5	1829	661.5	861	0.0278	0.0333	0.033	0.0393	0.1694	0.1813	0.181	0.1934	0.1439	0.1541	0.1539	0.1646	0.2647	0.2744	0.2743	0.2842	0.4336	0.4466	0.4465	0.4596	0.0828	0.1013	0.1002	0.1212	0.3487	0.3818	0.381	0.4152	0.3196	0.3463	0.3457	0.3732	0.3416	0.3872	0.386	0.4335	0.5074	0.5511	0.5506	0.5942	87.9001	2548.8049	504.7167	2279.972	506.5675	2780.95	1564.1159	4135.5949	1771.3232	2195.0339	67.5462	599.0851	219.8994	356.1932	294.4505	556.0559	117.2408	185.6133	195.2689	159.1543	2608
ENSG00000151414	NEK7	466	3714.5	2836.5	3559.5	5170.5	3629.3333	116	828	760	1250.5	384	500	0.033	0.0407	0.0402	0.049	0.1545	0.1699	0.1695	0.1859	0.1443	0.1566	0.1563	0.1691	0.2368	0.2492	0.249	0.2616	0.415	0.4321	0.432	0.4493	0.0857	0.1099	0.1081	0.1363	0.3862	0.4291	0.4282	0.4724	0.4048	0.4361	0.4357	0.4676	0.4587	0.5183	0.5173	0.5773	0.6059	0.6603	0.6603	0.7124	66.293	1563.3582	262.4787	1282.2631	365.1973	1967.626	819.4331	2469.4727	978.1691	1285.5548	45.2505	366.4108	152.7199	203.2222	293.2082	379.134	99.0555	92.1337	140.4455	72.3479	4149
